image_name,x1,x2,y1,y2,category,text,page,note,line,tr_text,eo_text,pt_text,tr_parish,eo_parish,pt_parish,gemini_parish
little_subsidy1642_page_127.png,1791,2916,1823,1917,parish,,127,1,1,,,,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,1971,2068,left_column,,127,2,1,John Specot Kt .,John Speccot Kt,John Speccot Kt,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2068,2167,left_column,,127,2,2,George Hole Esq 40,George Hele Esq,George Hele ksq,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2167,2290,left_column,,127,2,3,Richard Hancock 10,J0 Richard Hancock,ss 6 8 2 a fe ewRichard Hancock,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2287,2367,left_column,,127,2,4,alerx 12,clerk 12,clerk 12,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2360,2440,left_column,,127,2,5,..... gent 5,.gent 5   6,,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2435,2514,left_column,,127,2,6,George Yeo gent 10,George Yeo gent 10,George Yeo gent 10 0,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2510,2590,left_column,,127,2,7,Beggry Seccomb,Degory Seccomb,Degory Seccomb,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2583,2663,left_column,,127,2,8,sen gent 15,sen gent 15 0,sen gent15,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2657,2736,left_column,,127,2,9,Pegry Secccomb,Degory Seccomb,Degory Seccomb,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
little_subsidy1642_page_127.png,543,1624,2728,2807,left_column,,127,2,10,jun gent 7,jun gent 0,jun gent.,NORTH PITHERWIN PARTSH,NORTH PITHERWIN PARISH,NORTH PITHERWIN. PARISH,North Petherwin
