SC	ID	PROBID	DocNo1	Script	Role	done
LEE	61	61	LEE P119	61.rtf	will	
LEE	153	153	LEE P522	153.rtf	will	
ORO	532	532	H I 1/2	532.rtf	will	
ORO	609	609	Misc Yorks NR III/i/1	609.rtf	will	
ORO	666	666	Parrott II/83	666.rtf	will	
ORO	705	705	Misc I/ii/6	705.rtf	will	
ORO	718	718	Wi I/xvi/2	718.rtf	will	
ORO	780	780	Li XV/ii/c/7	780.rtf	will	
PCC	3	3	PROB11 142.82	3.rtf	will	
PCC	7	7	PROB11 229.255	7.rtf	will	
PCC	8	8	PROB11 100.64	8.rtf	will	
PCC	14	14	PROB11 305.133	14.rtf	will	
PCC	17	17	PROB11 217.137	17.rtf	will	
PCC	20	20	PROB11 441.219	20.rtf	will	
PCC	22	22	PROB11 267.314	22.rtf	will	
PCC	23	23	PROB11 140.87	23.rtf	will
PCC	27	27	PROB11 127.17a	27.rtf	will
PCC	28	28	PROB11 155.33	28.rtf	will
PCC	29	29	PROB11 177.67	29.rtf	will
PCC	36	36	PROB11 103.37	36.rtf	will
PCC	37	37	PROB11 323.2	37.rtf	will
PCC	41	41	PROB11 419.69	41.rtf	will
PCC	46	46	PROB11 120.11O	46.rtf	will
PCC	54	54	PROB11 95.9	54.rtf	will
PCC	58	58	PROB11 152.84	58.rtf	will
PCC	60	60	PROB11 201.156	60.rtf	will
PCC	65	65	PROB4 9438	65.rtf	account
PCC	72	72	PROB11 410.99	72.rtf	will
PCC	73	73	PROB11 415.105	73.rtf	will
PCC	81	81	PROB11 274.123	81.rtf	will
PCC	82	82	PROB11 300.205	82.rtf	will
PCC	88	88	PROB11 108.61	88.rtf	will
PCC	96	96	PROB11 135.62	96.rtf	will
PCC	97	97	PROB11 357.91	97.rtf	will
PCC	98	98	PROB11 450.71	98.rtf	will
PCC	100	100	PROB11 282.552	100.rtf	will
PCC	101	101	PROB11 131.1O	101.rtf	will
PCC	105	105	PROB11 234.73	105.rtf	will
PCC	108	108	PROB11 137.14	108.rtf	will
PCC	110	110	PROB11 306.195	110.rtf	will
PCC	112	112	PROB11 363.105	112.rtf	will
PCC	125	125	PROB11 120.111	125.rtf	will
PCC	127	127	PROB11 153.9	127.rtf	will
PCC	129	129	PROB11 270.473	129.rtf	will
PCC	130	130	PROB11 257.283	130.rtf	will
PCC	135	135	PROB11 458.180	135.rtf	will
PCC	138	138	PROB11 234.179	138.rtf	will
PCC	140	140	PROB11 98.53	140.rtf	will
PCC	146	146	PROB11 397.172	146.rtf	will
PCC	159	159	PROB11 88.53	159.rtf	will
PCC	160	160	PROB11 197.147	160.rtf	will
PCC	168	168	PROB11 161.4	168.rtf	will
PCC	169	169	PROB11 254.107	169.rtf	will
PCC	173	173	PROB11 270.472	173.rtf	will
PCC	185	185	PROB11 329.40	185.rtf	will
PCC	186	186	PROB11 360.83	186.rtf	will
PCC	190	190	PROB11 127.17b	190.rtf	will
PCC	195	195	PROB11 117.7	195.rtf	will
PCC	201	201	PROB11 267.314	201.rtf	will
PCC	206	206	PROB11 177.75	206.rtf	will
