lord_id	struct_idx	county	phillimore	borough_tre_lord	holding	units	value
20	1	KEN	D1	King Edward		third penny	12
40	1	KEN	D1	Earl Godwin		third penny	6
60	1	KEN	D1	Canons of Dover		-	
80	2	KEN	D2	King Edward	20	ships	
100	3	KEN	D3	King Edward		customary dues	0.02
120	4	KEN	D4	King Edward		-	
140	5	KEN	D5	King Edward		-	
160	6	KEN	D6	King Edward		-	
180	7	KEN	D7	King Edward		-	
200	8	KEN	D8	King Edward	29	messuages	
220	9	KEN	D9	King Edward	3	messuages	
240	10	KEN	D10	King Edward		-	
260	11	KEN	D11	King Edward		-	
280	12	KEN	D12	King Edward		-	
300	13	KEN	D13	King Edward		-	
320	14	KEN	D14	King Edward		-
340	15	KEN	D15	King Edward		-
360	16	KEN	D16	King Edward		-
380	17	KEN	D17	King Edward		-
400	17	KEN	D17	Archbishop of Canterbury		-
420	17	KEN	D17	Abbey of Canterbury		-
440	17	KEN	D17	Canons of Dover		-
460	17	KEN	D17	Godric of [Bishops]bourne		-
480	17	KEN	D17	Godric Karlson		-
500	17	KEN	D17	Young Alnoth (of Kent)		-
520	17	KEN	D17	Esbiorn Big		-
540	17	KEN	D17	Sired of Chilham		-
560	17	KEN	D17	Thorgisl		-
580	17	KEN	D17	Northmann <of Mereworth>		-
600	17	KEN	D17	Azur		-
620	18	KEN	D18	King Edward		-
640	19	KEN	D19	King Edward		-
660	19	KEN	D19	Archbishop of Canterbury		-
680	19	KEN	D19	Abbey of Canterbury		-
700	19	KEN	D19	Canons of Dover		-
720	20	KEN	D20	King Edward		-
740	21	KEN	D21	King Edward		-
760	22	KEN	D22	King Edward		customary dues
780	22	KEN	D22	Young Alnoth (of Kent)		-
800	23	KEN	D23	King Edward		-
820	24	KEN	D24	King Edward		-
840	25	KEN	D25	King Edward		-
860	25	KEN	D25	Young Brictsi		-
880	25	KEN	D25	Aethelwold of Eltham		-
900	25	KEN	D25	Eskil of Beckenham		-
920	25	KEN	D25	Azur of Lessness		-
940	25	KEN	D25	Alwin Horne		-
960	25	KEN	D25	Wulfward White		-	
980	25	KEN	D25	Ording of Horton		-	
1000	25	KEN	D25	Esbiorn of Chelsfield		-	
1020	25	KEN	D25	Leofnoth of Sutton		-	
1040	25	KEN	D25	Edward of Stone		-	
1060	25	KEN	D25	Wulfstan of Wateringbury		-	
1080	25	KEN	D25	Leofric of Wateringbury		-	
1100	25	KEN	D25	Osward of Norton		-	
1120	25	KEN	D25	Edith of Asholt		-	
1140	25	KEN	D25	Alred of Yalding		-	
1160	51	KEN	C1	King Edward		value	51
