SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
1630 SCROOPE,,,,,,,
,,,,,,,
AXWORTHY,John,the elder,Milton Abbott,,1630,9,Scroope
BARTOWE,Peter,,Awliscombe,Admon w. will,1619,55,Parker
,,,,Probate 6 Aug 1630,,,
,,,,by son now of age,,,
BENNETT,John,the elder,Chudleigh,Admon w. will,1630,23,Scroope
BEARDON,John,,Newton Abbot,,1630,27,Scroope
BIRCH,Nicholas,Rector of,Bicton,,1630,98,Scroope
BLIGHE,William,,Plymouthe,Admon 10 Apr 1630,,,
,,,,Revocation letter,,,
,,,,of Admon w. will,1628,54,Barrington
BOWDICE,Margaret,widow,"Hawkchurch, Dor.",,1630,98,Scroope
BURCHILL,John,Vicar of,Bovey Tracey,Admon w.will,1630,53,Scroope
CARDY,Richard,,Kingswear,,1630,68,Scroope
CHERITON,Clement,,Exeter,,1630,24,scroope
CHRISTIAN,George,merchant,Plymouth,,1630,17,Scroope
CLARKE,Thomas,,Northam,,1630,31,Scroope
CONISBY,John,,Crediton,,1630,1,Scroope
COOKE,Gregory,yeoman,Woodbury,,1630,25,Scroope
COLE,Robert,,Morchard Bishop,Sentence,1630,103,Scroope
,,,,Will pvd,1628,64,Barrington
COTTON,Mary,widow,Silverton,,1630,14,Scroope
CREESE,Thomas,,Plymouth,,1630,43,Scroope
CROCKHEY,Stephen,,"East Coker, Dvn (Som. @ P.A.)",,1630,75,
CRUDGE,Robert,,Tiverton,,1630,83,Scroope
DICKINSON,Francis,sailor,Northam,,1630,77,Scroope
DOWNE,George,seaman,Pilton,,1630,14,Scroope
DOWNINGE,William,,"Dalwood, Dor.",,1630,113,Scroope
DOWRICH,Elizabeth,widow,Exeter,,1630,37,Scroope
FACEY,John,,Plymouth,Sentence annulling will,1630,60,Scroope
FACEY,Thomas,,Burlescombe (Uffculme 1629),,1630,2,Scroope
FARRINGTON,Isaiah,clerk,Lympston,,1630,53,Scroope
FRENCH,John,,Branscombe,,1630,111,Scroope
GOODING,Julian,,Harpford,,1630,64,scroope
GREENE,Julian,,Plymouth,,1630,108,Scroope
GREGORY,John,,Swimbridge,,1630,98,Scroope
HAWKINS,Judith,,Co. Devon,,1630,14,Scroope
,,,(legacy to poor Slapton),,,,
HOLE,John,yeo(man),"Halse, North Tawton",,1630,109,Scroope
HOLWILL,Walter,,Tiverton,,1630,57,Scroope
HOOPER,Thomas,,Hartland,,1630,64,Scroope
HOOPER,William,,Hartland,,1630,64,Scroope
HORE,Barbara,widow,Buckfastleigh,Admon w will,1630,53,Scroope
,,,,by son now of age,,,
,,,,Prob. Mar 1634/5,,,
HOWE,Roger,,Morchard Bishop,,1630,91,Scroope
HUNT,Allan,,Down St Mary,,1630,16,Scroope
HUNT,John,,Braunton,,1630,59,Scroope
JOCE,Nicholas,,West Buckland,,1630,29,Scroope
KINGDON,Beaton,widow,North Molton,,1630,100,Scroope
KIRKHAM,Sir William,kt,"Blagdon, Collaton St Mary",Admon 26 Apr 1630,,,
,,,,to son Francis of Pinhoe,,,
,,,,Admon w. will,1625,49,Clarke
LANOO,William,,Uplyme,,1630,71,Scroope
LEY,Richard,gent,Northcott,,1630,28,Scroope
LOOCKE,John,,Highbury (High Bray),Admon w. will,1630,77,Scroope
MAUNDER,Thomas,,Halberton,Admon w.will,1630,52,Scroope
MINDEN,James,soldier,"died abroad, father Peter",,1630,29,Scroope
,,,of Butterleigh,,,,
NICHOLLS,Thomas,mariner,Instow,,1630,43,Scroope
NOSEWORTHY,Robert,,Manaton,,1630,59,Scroope
PACKER,Thomas,gent,Romansleigh,,1630,37,Scroope
PENNY,John,the younger,Exeter,,1630,75,Scroope
PETTEN als,Anthony,,Bridgerule,,1630,109,Scroope
INVELL,,,,,,,
PHILLIPE,Anthony,,Dunkeswell,,1630,16,Scroope
PITTS,Andrew,,Chittlehampton,,1630,87,Scroope
REEVE,Gawen,,Crediton,,1630,25,Scroope
RIDGE,William,,Plymouth,,1630,100,Scroope
ROWE,John,sailor,Topsham,Admon w. will,1630,23,Scroope
SAUNDER,Michael,bachelor,Bishop's Nympton,,1630,38,Scroope
SCOBELL,John,merchant,Plymouth,Admon w. will,1630,59,Scroope
,,,,admon d.b.n. 11 Dec,,,
,,,,1657 to John COLE,,,
SHILSTON,Andrew,,Doddiscombleigh,,1630,52,Scroope
SLEE,Joan,widow of Geo.,Uplowman,,1630,83,Scroope
,,of Tiverton,,,,,
SMITH,Nicholas,Esq,Mount Radford but decd,,1630,17,Scroope
,,,"St Martin in Field, Middx",,,,
SOUTHCOTT,Elizabeth,widow,Exeter,Sentence,1630,21,Scroope
,,,,will pvd,1629,96,Ridley
STANFIELD,Humfry,,"died abroad, bro Richard",,1630,80,Scroope
,,,"of Saltash, nr Plymouth",,,,
STAYNINGE,Philip,,Witheridge,,1630,37,Scroope
STACEY,John,,Plympton St Maurice,,1630,99,Scroope
TAILLER,John,the elder,Alderman of Exeter,,1630,63,Scroope
TROCK,Thomas,,Cullompton,,1630,43,Scroope
TUCFIELD,John,,Crediton,,1630,116,Scroope
TURNER,Nicholas,senr,"Rawridge, Halberton",Sentence anulling will,1630,20,Scroope
,,,,Admon 8 Aug 1629,,,
WAY,William,,Great Torrington,,1630,41,Scroope
WEEKES,Michael,bach,Heavitree,Nunc 29 July 1628,,,
,,,,Admon 28 Jan 1630/1,,,
,,,,Sentence validating etc,1630,112,Scroope
WESSCOMBE,Robert,the elder,Kentisbeare,,1630,59,Scroope
WEST,John,the elder,Tiverton,,1630,76,Scroope
WYES,Sir Thomas,kt of the Bath,Sydenham,,1630,40,Scroope
,,,,,,,
1631 ST JOHN,,,,,,,
,,,,,,,
AMYE,Edward,merchant,Tiverton,Admon 25 Aug 1632,1631,18,St John
AMYE,Ann,widow,Exeter,,1631,41,St John
ANTHONY,John,,Exeter,,1631,70,St John
BALL,Tristram,,Ashcombe,,1631,130,St John
BEARE,Thomas,gent,Huntsham,Admon w. will,1631,136,St John
BENNETT,Richard,,Broadclyst,,1631,20,St John
BOUND,John,,"Bulleigh, p. Ipplepen",,1631,97,St John
BROCKING,Christopher,,Totnes,,1631,64,St John
BROWNSCOMBE,John,,Zeal Monachorum,,1631,121,St John
BUCKINGHAM,Margaret,widow of Robert,Upton Hellions,,1631,115,St John
,,of Crediton,,,,,
BUSSE,Ralph,bachelor,Bradworthy,,1631,62,St John
CANNOTT als,Robert,,Keynton (Kenton),,1631,83,St John
GREGORY,,,,,,,
CARTER,Ellis,,Branscombe,,1631,70,St John
COLMER,Abraham,merchant,,Admon 24 Jan,1631,113,St John
,,,,Admon 6 Mar 1638,,,
COMBE,Ralph,,White Church,,1631,101,St John
COX,John,,Luppitt,,1631,63,St John
DIGGON,John,the elder,Silverton,Admon w. will,1631,107,St John
DUCKE,Nicholas,Recorder,Exeter,Admon w. will,1631,70,St John
DYNNIS,James,,Pilton,Admon w. will,1631,98,St John
ENGLISHE,Walter,merchant,Totnes,,1631,95,St John
FOOKE,Philip,,Braunton,,1631,83,St John
FRANCKLYN,Phillip (sic),widow,Combe Martin,,1631,22,St John
GOULDSTON,Margaret,spinster,"St Martin, Exeter",,1631,69,St John
GREENSALDE,John,,Cheldon,,1631,53,St John
GREENWAY,Aza,gent,Talaton,,1631,23,St John
HEARNE,Thomas,clerk,East Budleigh,,1631,130,St John
HELLIER als,Thomas,,Uffculme,,1631,61,St John
KNOWLES,,,,,,,
HYNAM,John,,Hockworthy,,1631,83,St John
JONES,Griffith,merchant,Landkey,,1631,84,St John
JOPE,John,merchant,Plymouth,,1631,3,St John
KEY,Martin,Vicar of,Staverton,,1631,61,St John
KIRKHAM,Richard,Esq,"Blagdon, Collaton St Mary",Admon w.will,1631,87,St John
MARSHALL,Alice,widow,Exeter,,1631,23,St John
MARSHALL,john,the younger,Exeter,Admon 17 June 1631,,,
,,,,Admon w. will,1623,72,Swann
,,,,Admon 3 Mar 1628/9,,,
NICKOLLS,Mathias,Preacher of,Plymouth,,1631,107,St John
,,God's Word,,,,,
OLIVER,John,merchant,Dartmouth,,1631,130,St John
PEARSE,Richard,,Membury,,1631,89,St John
POPE,Nicholas,yeoman,"Sandford, Crediton",,1631,40,St john
PUDDINGTON,Robert,,Tiverton,,1631,49,St John
READ,Agnes,widow,Shobrooke,,1631,35,St John
REYNELL,Richard,Esq,"Creedy wiger, Upton Helions",,1631,48,St John
ROWE,Wilmot,widow,"Mutley, p. Plymouth",,1631,48,St John
SCAMPE,Thomas,clerk M.A.,Georgeham,,1631,61,St John
,,,formerly of Cambridge,,,,
SHERWILL,Thomas,merchant,Plymouth,,1631,107,St John
SOUTHCOTT,Susanna,widow,Exeter,,1631,63,St John
SPARKE,Bartholomew,,Churchstanton,,1631,130,St John
STAMPE,John,the elder,Upottery,,1631,63,St John
