id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
1	ESSEX	6.50	SAVAGE WM	GT CLACTON [assumed]			LITTLEWOOD RIC	COLCHESTER	ESSEX			MARINER	On 10 January 1596 at Great Clacton a great accounting was made \r\nbetween the parties which found that the defendant was 5s in \r\narrears. \r\n\r\nThen on 1 January 1597 at Clacton, the defendant bought \r\na ligniculum salibis, anglice a steel stick for 4d, a parcell of \r\nchalcauthi, anglice littmos for 14d, a pound of dried fruits \r\n(pasula), a pound of BASWOUND for 4d, one pound of dried currants \r\nfor 5d, three quarters of a yard of linen sacking cloth for 11d, \r\none piece of linen hempen cloth for 6d, 1,000 pins for 8d, figs \r\nand almonds for 5d, pepper, raisins, currants & nutmegs for 22d, \r\ncotton English silk for 5d, Buckram cloth for 2d, a parcel of \r\nhempen cloth for 3d, silk and nails for 6.5d, one ell of sacking \r\nfor 4d, a quarter yard of hempen cloth for 4.5d, an inkhorn for 3d, \r\na parcell of sacking for 8d, three quarters of a yard of sacki\r\nng for 5d, laces for 10d, thread for 6d, fustian for 4.5d, pins \r\nfor 4d, a doz laces for 2d, hempen cloth for 14d, thread for \r\n1d,buckles (fibulos) for 3d, laces for 8d, a ball for 1d, lace \r\nfor 11d, 3 yards of sacking for 3d, hempen cloth for 8d, TEMAS \r\nINKLE 3D, a MANECOMBE for 3d, 1.5 yards of hempen cloth for 12d, \r\n6 yards of statute lace for 6d, starch for 1d - to pay Wm when \r\nasked,  and the plaintiff loaned him 2s the same day. \r\n\r\nAnd on 5 June 1598 at Great Clacton the defendant bought from William 2 lbs \r\nof hempen TOWE for 6d, litmus for 1d, 3/4 of a yard of sacking \r\nfor 10d to be paid when asked. \r\n\r\nThen on 15 April 1599 at Great Clacton, he bought from the same William \r\n23 lbs of brimstone for 3s 6d, 200 lb weight, 3/4 of a hundredweight and 18lbs of \r\nbrimstone for 43s 4d, 49.5 lbs staminis, anglice towe for 11s, a \r\nbarell and a half of tar for 20s, 6 pieces funiculonem, anglice lynes\r\nfor 5s 6d.- to pay when asked and also on 15 april 1599 he \r\nborrowed 15s 3d at Great Clacton making in total £6. 10.0 \r\n\r\n- def is accused of non-payment, to damage of £10 - denies.\r\n\r\n\r\nSPICES DYESTUFFS PINS/NEEDLES COTTON TOW LINES
2	LONDON	2.05	PENNYNGTON JAMES & WOOD THOMAS				HARFORD RICHARD	BOSBURY	HEREFS				On 2 July 1599 in the parish of St Mary le Bow in Chepe, the \r\ndefendant bought 9 yards of XILIM called fine millian fustian for \r\n30s, half an ell of silk called dove coller taffety for 8s and \r\n3.5 yards of white XILIM called white fustian for 2s 11d - to pay \r\nwhen asked - denies.\r\n\r\nCOTTON
3	HERTS	10	WOODLEY THOS	HITCHIN	HERTS		THRUXSTONE RIC	EDWORTH	BEDS			YEOMAN	6 quarters of barley, viz. on 6 May 1600 at Hitchin by a bill of \r\nobligation the defendant undertook to deliver 6 quarters of sweet \r\nmalting corn at Michaelmas to the mansion house of Thos W at \r\nHitchin - but he did not.\r\n\r\nGRAIN
4	BEDS	30	WOODLEY THOS				THURGOOD OLMERUS	NORTHILL	BEDS			GENT	20 quarters of barley - viz. - at Bedford (no date) Thos bought 20q of \r\nbarley which was to be delivered within [?] next following, but \r\nwas not to his damage of £10.\r\n\r\nGRAIN
5	COVENTRY	3	SMALBROKE RIC junior				WYRLEY, alias SMALWOD, THOS	GT BARR	STAFFS				On the last day of February 1601 at Exall, Thomas bought from \r\nRichard 30 lbs of iron for 18s, 1 lb of soap for 5d, 250 'thick \r\ntwopeny nails' for 3d, to pay when demanded and on the same day \r\nat Exall he borrowed 41s and 4d and has not paid, to damage of \r\n£10.\r\n\r\nIRON GOODS
6	YORKS	28	RICHARDSON WM				CATERUM JOHN	BASING	LINCS			YEOMAN	On 6 Nov. 1598 at the Castle of York the defendant bought a \r\nbarrell of tar and 2 barrells of pitch for 61s 4d, 1500 of \r\nEnglish and Danske iron for £8.10.10, 105 ...... and 2 reams of \r\npaper for 14s 2d, a piece of linen cloth called 'millan fustian' \r\nand one called 'holmes furbutu' for 83s, a piece of linen cloth \r\ncalled 'osenburyhe', 2 lb nutmeg for 28s, linen cloth called \r\n'jownes furbutnor', cloth called 'Hamburgh cloth' for 19s 8d, a \r\nbarrell of sweet soap and a barrel of coarse soap for 4s, one \r\n..... for 10s. To pay when required.\r\n\r\nSPICES
7	BERKS	10.30	JOHNSON RIC				PEARCE THOS	MARLBOROUGH	WILTS			MERCER	Richard says that on 23 October 1598 at Reading, the defendant \r\nbought from him 62 pieces of iron called 'ends of English iron' weighing \r\n2,107 lbs for £12 2 3, 44 other pieces of ends of iron weighing \r\n1,575 lbs for £8.5.6 1/2d, 114 frying pans for 20s, 2 dozen 'shod \r\nshovels' for 13s, 2 currycombs for 2s 2d, 2 bundles of 'les \r\nsnitle bills' for 12d, 1 'rotoriam' called a 'grinstone' for 3s \r\n4d, a five-foot grindstone for 8s, 6 'limes called files' for 7s, \r\n100  virgatis of iron called 'nayle boddes' for 7s 9d, and a \r\npiece of cloth for 2s - to pay when asked. \r\n\r\nOn 9 May 1599 at Reading he bought 59 pieces if English iron weighing 2,020 lbs \r\nfor £11.2.0, 5 iron window bars weighing 125 and 80 lbs for 19s 7d, 60 \r\npieces of English iron (2,199 lbs - ends of iron) for £12.7.7, 91 lbs of bar \r\nsteele for 28s 6d, one dozen 'cardinn' fer' called large 'osses' \r\nfor 3s 6.5d, one dozen of 'les middle osses' for 2s9d, 2 dozen\r\nhorse bells for 3s 8d, pieces of english iron (2199 lbs -  \r\nends of iron) for £12.7.7, 91 lb of barre steele for 28s \r\n6d, a dozen cardinn' fer voc large osses for 3s 6 1/2d, a dozen \r\nof les middle osses for 2s 9d, 2 dozen horse belles for 3s 8d a \r\ndozen large latten bells for 2s, 1 dozen lagerum cardin' voc \r\nduffe tayles for 2s 2d & more iron work; \r\n\r\nThen on 16 june 1599 at Reading more iron and ironwork\r\n\r\nThen on 20 sept 1599 @ Reading more ends of iron, & ironwork; \r\n\r\nThen on 20 feb 1600 @ Reading, whipp sawes, linen cloth, window barr \r\nmaking in total £86.0.2. \r\n\r\n£75.14.2d satisfied. £10.6s remains.\r\n\r\nIRON GOODS STEEL
8	LONDON	77.28	SHEPPERD RIC				SUZAN JOHN	LONDON	LONDON			HABERDASHER	On 7 Jan 1601 at London (par BM de A in chepe) John bought from \r\nRic 1,340 ells of linen cloth called 'frenche canvas', to pay on \r\n27 July then next following, but he did not etc.\r\n\r\n
9	NHANTS	4.70	BERREDG' ELIZABETH				EGLE WM	EYDON	NHANTS			JOYNER	Eliz says by her att. that on 1 Dec 43 Eliz (1600) at Northampton Wm \r\nbought from her 94 dozens of broad cloth, paying for each dozen \r\n12d, to pay when asked.\r\n\r\nWOOLLEN CLOTH
10	LONDON	8	MORMAY WM				BROOKES WM	NORTHAMPTON	NHANTS			GENT	On last day feb 1597 at London (Cheap) W.B. bought diverse types \r\nof cloth. \r\n\r\nAnd again on 31 Aug 1599 in Chepe diverse goods;\r\n\r\nOn 30 sept 1599 at London (chepe) cloth - buckram, turkey grogram, \r\ncipres, etc;\r\n\r\nOn 31 dec 1599 in Cheap he bought 'lambswooll bayes', fustian etc, taffeta, \r\nand more cloths on 31 jan 1599 (sic) in Cheap.\r\n\r\n.\r\nWOOLLEN CLOTH LINEN SILK COTTON
